Optimal HV: 17035431968
Iteration 229: HV = 6964630321.29, HVR = 0.41
Iteration 230: HV = 6902531754.04, HVR = 0.41
Iteration 231: HV = 6902531754.04, HVR = 0.41
Iteration 232: HV = 6917840417.76, HVR = 0.41
Iteration 233: HV = 6853495575.67, HVR = 0.40
Iteration 234: HV = 6917677294.81, HVR = 0.41
Iteration 235: HV = 6904139669.78, HVR = 0.41
Iteration 236: HV = 6926921029.05, HVR = 0.41
Iteration 237: HV = 6915744827.28, HVR = 0.41
Iteration 238: HV = 6915744827.28, HVR = 0.41
Iteration 239: HV = 6915744827.28, HVR = 0.41
Iteration 240: HV = 6979242342.17, HVR = 0.41
Iteration 241: HV = 6951957790.10, HVR = 0.41
Iteration 242: HV = 6944101806.66, HVR = 0.41
Iteration 243: HV = 6944101806.66, HVR = 0.41
Iteration 244: HV = 6989041464.37, HVR = 0.41
Iteration 245: HV = 7011329419.29, HVR = 0.41
Iteration 246: HV = 7073528032.56, HVR = 0.42
Iteration 247: HV = 7053332306.56, HVR = 0.41
Iteration 248: HV = 7053332306.56, HVR = 0.41
Iteration 249: HV = 7053332306.56, HVR = 0.41
Iteration 250: HV = 7053332306.56, HVR = 0.41
Iteration 251: HV = 7053332306.56, HVR = 0.41
Iteration 252: HV = 7053332306.56, HVR = 0.41
Iteration 253: HV = 7053332306.56, HVR = 0.41
Iteration 254: HV = 7016251299.93, HVR = 0.41
Iteration 255: HV = 7037409308.35, HVR = 0.41
Iteration 256: HV = 7037409308.35, HVR = 0.41
Iteration 257: HV = 7037409308.35, HVR = 0.41
Iteration 258: HV = 7396581721.34, HVR = 0.43
Iteration 259: HV = 7396581721.34, HVR = 0.43
Iteration 260: HV = 7413598584.44, HVR = 0.44
Iteration 261: HV = 7429260911.40, HVR = 0.44
Iteration 262: HV = 7431667509.21, HVR = 0.44
Iteration 263: HV = 7431667509.21, HVR = 0.44
Iteration 264: HV = 7431667509.21, HVR = 0.44
Iteration 265: HV = 7397046098.92, HVR = 0.43
Iteration 266: HV = 7397046098.92, HVR = 0.43
Iteration 267: HV = 7397046098.92, HVR = 0.43
Iteration 268: HV = 7397046098.92, HVR = 0.43
Iteration 269: HV = 7413519976.93, HVR = 0.44
Iteration 270: HV = 7452149169.68, HVR = 0.44
Iteration 271: HV = 7452149169.68, HVR = 0.44
Iteration 272: HV = 7461581048.85, HVR = 0.44
